DATE,SPPOP65UPTOZSUSA
1960-01-01,9.23044003803254
1961-01-01,9.31051392352249
1962-01-01,9.37583988822117
1963-01-01,9.45139206932627
1964-01-01,9.51857754672703
1965-01-01,9.55391056674544
1966-01-01,9.57878074695705
1967-01-01,9.6532137757499
1968-01-01,9.71448734849603
1969-01-01,9.73887437978727
1970-01-01,9.80325150200915
1971-01-01,9.87925941795559
1972-01-01,9.97579156609053
1973-01-01,10.1118024809082
1974-01-01,10.2681888370873
1975-01-01,10.4457278525173
1976-01-01,10.6549543564074
1977-01-01,10.8647588127402
1978-01-01,11.0385888703281
1979-01-01,11.1749856659696
1980-01-01,11.2785903333574
1981-01-01,11.3814508448704
1982-01-01,11.4800562085099
1983-01-01,11.5495130681994
1984-01-01,11.6626184249338
1985-01-01,11.8114624544489
1986-01-01,11.9188690151469
1987-01-01,11.9994637469215
1988-01-01,12.1507924868231
1989-01-01,12.2749399730384
1990-01-01,12.2844761945132
1991-01-01,12.326906981295
1992-01-01,12.3968455125612
1993-01-01,12.4273483783189
1994-01-01,12.4839785383117
1995-01-01,12.5436335240969
1996-01-01,12.5503676380277
1997-01-01,12.5140026895127
1998-01-01,12.4614727352375
1999-01-01,12.3961707337774
2000-01-01,12.3176296433869
2001-01-01,12.2969453233527
2002-01-01,12.2874577893554
2003-01-01,12.2779342993686
2004-01-01,12.3047192322804
2005-01-01,12.3601628768533
2006-01-01,12.422071948027
2007-01-01,12.507803700301
2008-01-01,12.6708585039901
2009-01-01,12.8562585688817
2010-01-01,13.0281784974361
2011-01-01,13.2702031218742
2012-01-01,13.5844369333927
2013-01-01,13.8910756761845
2014-01-01,14.1355633751345
2015-01-01,14.3277540980291
2016-01-01,14.672311496844
2017-01-01,15.0662903997382
2018-01-01,15.3976975750778
2019-01-01,15.7918008297391
2020-01-01,16.2234001500798
2021-01-01,16.6788954868121
2022-01-01,17.1281205454528
