DATE,WPUSI012011
1947-01-01,22.2
1947-02-01,22.5
1947-03-01,22.9
1947-04-01,23.2
1947-05-01,23.3
1947-06-01,23.2
1947-07-01,23.4
1947-08-01,23.7
1947-09-01,24.1
1947-10-01,24.3
1947-11-01,24.6
1947-12-01,24.8
1948-01-01,25.2
1948-02-01,25.3
1948-03-01,25.5
1948-04-01,25.5
1948-05-01,25.7
1948-06-01,25.8
1948-07-01,26.1
1948-08-01,26.7
1948-09-01,26.8
1948-10-01,26.7
1948-11-01,26.6
1948-12-01,26.5
1949-01-01,26.4
1949-02-01,26.2
1949-03-01,26.1
1949-04-01,25.9
1949-05-01,25.6
1949-06-01,25.4
1949-07-01,25.1
1949-08-01,25.0
1949-09-01,25.0
1949-10-01,25.1
1949-11-01,25.2
1949-12-01,25.3
1950-01-01,25.6
1950-02-01,25.8
1950-03-01,26.0
1950-04-01,26.2
1950-05-01,26.6
1950-06-01,26.9
1950-07-01,27.3
1950-08-01,28.0
1950-09-01,28.6
1950-10-01,29.0
1950-11-01,29.1
1950-12-01,29.6
1951-01-01,30.1
1951-02-01,30.2
1951-03-01,30.2
1951-04-01,30.2
1951-05-01,30.2
1951-06-01,30.0
1951-07-01,29.9
1951-08-01,29.7
1951-09-01,29.7
1951-10-01,29.7
1951-11-01,29.6
1951-12-01,29.5
1952-01-01,29.5
1952-02-01,29.5
1952-03-01,29.5
1952-04-01,29.6
1952-05-01,29.5
1952-06-01,29.5
1952-07-01,29.5
1952-08-01,29.7
1952-09-01,29.7
1952-10-01,29.7
1952-11-01,29.6
1952-12-01,29.6
1953-01-01,29.6
1953-02-01,29.7
1953-03-01,29.8
1953-04-01,30.0
1953-05-01,30.1
1953-06-01,30.1
1953-07-01,30.4
1953-08-01,30.2
1953-09-01,30.1
1953-10-01,30.0
1953-11-01,29.9
1953-12-01,29.9
1954-01-01,29.9
1954-02-01,29.8
1954-03-01,29.8
1954-04-01,29.6
1954-05-01,29.7
1954-06-01,29.6
1954-07-01,30.1
1954-08-01,30.2
1954-09-01,30.4
1954-10-01,30.4
1954-11-01,30.5
1954-12-01,30.5
1955-01-01,30.5
1955-02-01,30.7
1955-03-01,30.7
1955-04-01,30.9
1955-05-01,31.0
1955-06-01,31.0
1955-07-01,31.5
1955-08-01,31.9
1955-09-01,32.1
1955-10-01,32.2
1955-11-01,32.0
1955-12-01,32.1
1956-01-01,32.4
1956-02-01,32.4
1956-03-01,32.6
1956-04-01,32.8
1956-05-01,32.7
1956-06-01,32.7
1956-07-01,32.7
1956-08-01,32.9
1956-09-01,32.8
1956-10-01,32.8
1956-11-01,32.7
